id,name,type,calories,protein,fat,carbs,fiber,ingredients,tags,combined_text
344,Emping komak,Makan Siang,355.0,17.8,4.6,60.7,3.0,"['bahan utama', 'bumbu']","['protein tinggi', 'rendah lemak', 'tinggi karbo']",bahan utama bumbu protein tinggi rendah lemak tinggi karbo
345,Encung asam segar,Sarapan,122.0,3.5,4.5,17.5,0.9,"['bahan utama', 'bumbu']","['asam', 'rendah lemak', 'rendah kalori']",bahan utama bumbu asam rendah lemak rendah kalori
346,Enting-enting gepuk hello kity,Makan Siang,538.0,13.6,30.3,52.6,2.6,"['bahan utama', 'bumbu']","['tinggi lemak', 'tinggi karbo', 'tinggi kalori']",bahan utama bumbu tinggi lemak tinggi karbo tinggi kalori
347,Enting-enting gepuk kacang tanah,Makan Siang,524.0,13.3,29.2,52.0,5.2,"['bahan utama', 'bumbu']","['nabati', 'tinggi lemak', 'tinggi karbo', 'tinggi kalori']",bahan utama bumbu nabati tinggi lemak tinggi karbo tinggi kalori
348,Enting-enting wijen,Makan Siang,565.0,18.2,38.4,36.8,1.8,"['bahan utama', 'bumbu']","['protein tinggi', 'tinggi lemak', 'tinggi karbo', 'tinggi kalori']",bahan utama bumbu protein tinggi tinggi lemak tinggi karbo tinggi kalori
349,Erbis,Sarapan,70.0,0.6,0.0,18.9,0.9,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
350,Es krim,Sarapan,210.0,4.0,12.5,20.6,1.0,"['bahan utama', 'bumbu']",[],bahan utama bumbu 
351,Es Krim (Coconut milk) ,Sarapan,156.7,3.0,1.7,32.7,1.6,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo', 'rendah kalori']",bahan utama bumbu rendah lemak tinggi karbo rendah kalori
352,Es Mambo ,Sarapan,152.0,0.0,0.0,37.6,1.9,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo', 'rendah kalori']",bahan utama bumbu rendah lemak tinggi karbo rendah kalori
353,Es Sirup ,Sarapan,44.8,0.0,0.0,11.3,0.6,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
354,Fillet o-fish,Sarapan,270.0,12.3,15.9,19.3,1.0,"['bahan utama', 'bumbu']",['tinggi lemak'],bahan utama bumbu tinggi lemak
355,Gadeng/Gadung kering,Makan Siang,322.0,2.4,0.6,76.6,3.8,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
356,Gado-gado,Sarapan,137.0,6.1,3.2,21.0,1.1,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori', 'tradisional']",bahan utama bumbu rendah lemak rendah kalori tradisional
357,Gadung kukus,Sarapan,88.0,0.8,0.3,20.9,1.0,"['bahan utama', 'bumbu']","['kukus', 'rendah lemak', 'rendah kalori']",bahan utama bumbu kukus rendah lemak rendah kalori
358,Gadung mentah,Sarapan,101.0,2.1,0.2,23.2,1.2,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
359,Gadung ubi kukus,Sarapan,88.0,0.6,0.3,20.9,1.0,"['bahan utama', 'bumbu']","['kukus', 'rendah lemak', 'rendah kalori']",bahan utama bumbu kukus rendah lemak rendah kalori
360,Gadung ubi segar,Sarapan,100.0,0.9,0.3,23.5,1.2,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
361,Gambas (Oyong),Sarapan,18.0,0.8,0.2,4.1,0.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu rendah lemak rendah karbo rendah kalori
362,Gambas lodeh,Sarapan,13.0,0.3,0.6,1.6,0.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu rendah lemak rendah karbo rendah kalori
363,Gandaria,Sarapan,68.0,0.7,0.1,18.0,0.9,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
364,Ganyong kukus,Sarapan,100.0,0.8,0.2,23.8,1.2,"['bahan utama', 'bumbu']","['kukus', 'rendah lemak', 'rendah kalori']",bahan utama bumbu kukus rendah lemak rendah kalori
365,Ganyong mentah,Sarapan,95.0,1.0,0.1,22.6,1.1,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
366,Ganyong rebus,Sarapan,100.0,0.8,0.2,23.8,1.2,"['bahan utama', 'bumbu']","['rebus', 'rendah lemak', 'rendah kalori']",bahan utama bumbu rebus rendah lemak rendah kalori
367,Ganyong segar,Sarapan,77.0,0.6,0.2,18.4,0.9,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
368,Gaplek,Makan Siang,338.0,1.5,0.7,81.3,4.1,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
369,Gatep segar,Sarapan,191.0,4.5,1.5,39.7,2.0,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo', 'rendah kalori']",bahan utama bumbu rendah lemak tinggi karbo rendah kalori
370,Gatot,Makan Siang,347.0,1.3,0.7,83.8,4.2,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
371,Geblek,Sarapan,195.0,0.4,1.7,44.4,2.2,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo', 'rendah kalori']",bahan utama bumbu rendah lemak tinggi karbo rendah kalori
372,Gelatine,Makan Siang,389.0,0.0,0.0,91.0,4.5,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
373,Gembili,Sarapan,95.0,1.5,0.1,22.4,1.1,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
374,Gembili ubi segar,Sarapan,131.0,1.1,0.2,31.3,1.6,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo', 'rendah kalori']",bahan utama bumbu rendah lemak tinggi karbo rendah kalori
375,Gemblong,Sarapan,274.0,1.7,5.4,55.5,2.8,"['bahan utama', 'bumbu']",['tinggi karbo'],bahan utama bumbu tinggi karbo
376,Gendar goreng,Makan Siang,407.0,6.4,28.2,32.0,1.6,"['bahan utama', 'bumbu']","['goreng', 'tinggi lemak', 'tinggi karbo', 'tinggi kalori']",bahan utama bumbu goreng tinggi lemak tinggi karbo tinggi kalori
377,Genjer segar,Sarapan,35.0,1.7,0.2,7.7,0.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu rendah lemak rendah karbo rendah kalori
378,Geplak,Makan Siang,350.0,1.4,14.4,53.6,2.7,"['bahan utama', 'bumbu']",['tinggi karbo'],bahan utama bumbu tinggi karbo
379,Geplak jahe,Makan Siang,462.0,3.1,24.4,57.7,2.9,"['bahan utama', 'bumbu']","['tinggi lemak', 'tinggi karbo', 'tinggi kalori']",bahan utama bumbu tinggi lemak tinggi karbo tinggi kalori
380,Gete kuah asam masakan,Sarapan,75.0,8.2,2.0,6.0,0.5,"['bahan utama', 'bumbu']","['berkuah', 'asam', 'rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu berkuah asam rendah lemak rendah karbo rendah kalori
381,Getuk goreng,Makan Siang,360.0,1.3,6.4,74.3,3.7,"['bahan utama', 'bumbu']","['goreng', 'tinggi karbo']",bahan utama bumbu goreng tinggi karbo
382,Getuk Lindri ,Sarapan,171.4,4.0,4.0,32.0,1.6,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo', 'rendah kalori']",bahan utama bumbu rendah lemak tinggi karbo rendah kalori
383,Getuk pisang,Sarapan,144.0,1.1,0.4,34.1,3.4,['pisang'],"['rendah lemak', 'tinggi karbo', 'rendah kalori']",pisang rendah lemak tinggi karbo rendah kalori
384,Getuk singkong,Sarapan,204.0,0.5,1.4,47.4,2.4,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
385,Ginjal Babi,Sarapan,114.0,16.3,4.6,0.8,0.3,"['babi', 'bumbu']","['protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",babi bumbu protein tinggi rendah lemak rendah karbo rendah kalori
386,Ginjal Domba,Sarapan,105.0,16.6,3.3,1.0,0.4,"['bumbu', 'domba']","['protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",bumbu domba protein tinggi rendah lemak rendah karbo rendah kalori
387,Ginjal Sapi,Sarapan,141.0,15.0,8.1,0.9,0.4,"['daging sapi', 'bumbu']","['daging', 'protein tinggi', 'rendah karbo', 'rendah kalori']",daging sapi bumbu daging protein tinggi rendah karbo rendah kalori
388,Gudeg ,Sarapan,53.0,1.6,1.6,8.8,0.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori', 'tradisional']",bahan utama bumbu rendah lemak rendah karbo rendah kalori tradisional
389,Gudeg sayur,Sarapan,160.0,3.3,9.2,16.0,1.6,['sayuran'],"['sayuran', 'rendah kalori', 'tradisional']",sayuran sayuran rendah kalori tradisional
390,Gula Aren,Makan Siang,368.0,0.0,0.0,95.0,4.8,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
391,Gula Kelapa,Makan Siang,386.0,3.0,10.0,76.0,3.8,"['bahan utama', 'bumbu']",['tinggi karbo'],bahan utama bumbu tinggi karbo
392,Gula Merah Tebu belum dimurnikan,Makan Siang,356.0,0.4,0.5,90.6,4.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'tinggi karbo']",ikan bumbu seafood rendah lemak tinggi karbo
393,Gula putih,Makan Siang,394.0,0.0,0.0,94.0,4.7,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
394,Gulai asam keueung masakan,Sarapan,52.0,10.0,0.5,1.8,0.5,"['bahan utama', 'bumbu']","['asam', 'rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu asam rendah lemak rendah karbo rendah kalori
395,Gulai ikan masakan,Sarapan,106.0,16.5,3.3,2.5,0.5,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo rendah kalori
396,Gulai ikan paya masakan,Sarapan,148.0,10.0,9.8,5.0,0.5,"['ikan', 'bumbu']","['seafood', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood rendah karbo rendah kalori
397,Gulai kambing,Sarapan,126.0,4.2,9.4,6.2,0.5,"['bumbu', 'kambing']","['daging', 'rendah karbo', 'rendah kalori']",bumbu kambing daging rendah karbo rendah kalori
398,Gulai keumamah masakan,Sarapan,110.0,5.9,8.2,3.2,0.5,"['bahan utama', 'bumbu']","['rendah karbo', 'rendah kalori']",bahan utama bumbu rendah karbo rendah kalori
399,Gulai pakis,Sarapan,143.0,4.0,11.4,6.0,0.5,"['bahan utama', 'bumbu']","['rendah karbo', 'rendah kalori']",bahan utama bumbu rendah karbo rendah kalori
400,Gulai pliek,Sarapan,176.0,7.3,14.9,3.2,0.5,"['bahan utama', 'bumbu']","['rendah karbo', 'rendah kalori']",bahan utama bumbu rendah karbo rendah kalori
401,Gulai tiram masakan,Sarapan,132.0,9.0,7.2,7.8,0.5,"['bahan utama', 'bumbu']","['rendah karbo', 'rendah kalori']",bahan utama bumbu rendah karbo rendah kalori
402,Gurame asem manis masakan,Sarapan,192.0,12.7,10.1,12.7,0.6,"['bahan utama', 'bumbu']","['manis', 'rendah kalori']",bahan utama bumbu manis rendah kalori
403,Gurandil,Sarapan,218.0,0.5,2.5,48.5,2.4,"['bahan utama', 'bumbu']","['rendah lemak', 'tinggi karbo']",bahan utama bumbu rendah lemak tinggi karbo
404,Ham,Makan Siang,389.0,16.9,35.0,0.3,0.1,"['bahan utama', 'bumbu']","['protein tinggi', 'tinggi lemak', 'rendah karbo']",bahan utama bumbu protein tinggi tinggi lemak rendah karbo
405,Hangop,Sarapan,65.0,10.0,1.0,3.5,0.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah karbo', 'rendah kalori']",bahan utama bumbu rendah lemak rendah karbo rendah kalori
406,Hati Babi,Sarapan,134.0,19.7,4.8,1.7,0.5,"['babi', 'bumbu']","['protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",babi bumbu protein tinggi rendah lemak rendah karbo rendah kalori
407,Hati Sapi,Sarapan,136.0,19.7,3.2,6.0,0.5,"['daging sapi', 'bumbu']","['daging', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",daging sapi bumbu daging protein tinggi rendah lemak rendah karbo rendah kalori
408,Havermout,Makan Siang,390.0,14.2,7.4,68.2,3.4,"['bahan utama', 'bumbu']",['tinggi karbo'],bahan utama bumbu tinggi karbo
409,Hofa/Ubi hutan segar,Sarapan,127.0,1.2,0.5,29.5,1.5,"['bahan utama', 'bumbu']","['rendah lemak', 'rendah kalori']",bahan utama bumbu rendah lemak rendah kalori
410,Ikan asar merah masakan,Sarapan,146.0,17.7,5.9,5.6,0.5,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah karbo rendah kalori
411,Ikan Asin bilis goreng,Makan Siang,380.0,33.6,27.5,0.0,0.0,"['ikan', 'bumbu']","['goreng', 'asin', 'seafood', 'protein tinggi', 'tinggi lemak', 'rendah karbo']",ikan bumbu goreng asin seafood protein tinggi tinggi lemak rendah karbo
412,Ikan Asin gabus goreng,Makan Siang,456.0,46.5,24.4,0.0,0.0,"['ikan', 'bumbu']","['goreng', 'asin', 'seafood', 'protein tinggi', 'tinggi lemak', 'rendah karbo', 'tinggi kalori']",ikan bumbu goreng asin seafood protein tinggi tinggi lemak rendah karbo tinggi kalori
413,Ikan Asin japuh goreng,Makan Siang,348.0,18.7,29.5,0.0,0.0,"['ikan', 'bumbu']","['goreng', 'asin', 'seafood', 'protein tinggi', 'tinggi lemak', 'rendah karbo']",ikan bumbu goreng asin seafood protein tinggi tinggi lemak rendah karbo
414,Ikan Asin kering,Sarapan,193.0,42.0,1.5,0.0,0.0,"['ikan', 'bumbu']","['asin', 'seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu asin seafood protein tinggi rendah lemak rendah karbo rendah kalori
415,Ikan Asin pari goreng,Makan Siang,430.0,58.2,23.6,0.0,0.0,"['ikan', 'bumbu']","['goreng', 'asin', 'seafood', 'protein tinggi', 'tinggi lemak', 'rendah karbo', 'tinggi kalori']",ikan bumbu goreng asin seafood protein tinggi tinggi lemak rendah karbo tinggi kalori
416,Ikan Asin pepetek goreng,Makan Malam,652.0,40.4,54.3,0.0,0.0,"['ikan', 'bumbu']","['goreng', 'asin', 'seafood', 'protein tinggi', 'tinggi lemak', 'rendah karbo', 'tinggi kalori']",ikan bumbu goreng asin seafood protein tinggi tinggi lemak rendah karbo tinggi kalori
417,Ikan Asin sirinding goreng,Makan Siang,319.0,6.9,31.7,0.0,0.0,"['ikan', 'bumbu']","['goreng', 'asin', 'seafood', 'tinggi lemak', 'rendah karbo']",ikan bumbu goreng asin seafood tinggi lemak rendah karbo
418,Ikan Asin teri goreng,Makan Siang,430.0,33.4,32.4,0.0,0.0,"['ikan', 'bumbu']","['goreng', 'asin', 'seafood', 'protein tinggi', 'tinggi lemak', 'rendah karbo', 'tinggi kalori']",ikan bumbu goreng asin seafood protein tinggi tinggi lemak rendah karbo tinggi kalori
419,Ikan Bader (Tawes),Sarapan,198.0,19.0,13.0,0.0,0.0,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah karbo rendah kalori
420,Ikan balong segar,Sarapan,107.0,16.5,3.9,1.5,0.5,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo rendah kalori
421,Ikan bambangan segar,Sarapan,112.0,20.0,1.3,3.7,0.5,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo rendah kalori
422,Ikan Bandeng,Sarapan,129.0,20.0,4.8,0.0,0.0,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo rendah kalori
423,Ikan bandeng presto masakan,Sarapan,296.0,17.1,20.3,11.3,0.6,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'tinggi lemak']",ikan bumbu seafood protein tinggi tinggi lemak
424,Ikan banjar segar,Sarapan,111.0,19.4,0.9,4.8,0.5,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo rendah kalori
425,Ikan baronang segar,Sarapan,78.0,14.5,0.6,3.7,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah karbo rendah kalori
426,Ikan baung bakar,Sarapan,144.0,17.8,5.8,5.2,0.5,"['ikan', 'bumbu']","['bakar', 'seafood', 'protein tinggi', 'rendah karbo', 'rendah kalori']",ikan bumbu bakar seafood protein tinggi rendah karbo rendah kalori
427,Ikan baung segar,Sarapan,123.0,15.1,5.5,3.3,0.5,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah karbo rendah kalori
428,Ikan Bawal,Sarapan,96.0,19.0,1.7,0.0,0.0,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo rendah kalori
429,Ikan Bekasang,Sarapan,138.0,14.0,0.7,7.4,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah karbo rendah kalori
430,Ikan Belida bakar,Sarapan,128.0,18.0,3.0,7.2,0.5,"['ikan', 'bumbu']","['bakar', 'seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu bakar seafood protein tinggi rendah lemak rendah karbo rendah kalori
431,Ikan Belida segar,Sarapan,80.0,14.7,1.4,2.2,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah karbo rendah kalori
432,Ikan Belut Segar goreng,Makan Siang,417.0,25.9,19.4,32.0,1.6,"['ikan', 'bumbu']","['goreng', 'seafood', 'protein tinggi', 'tinggi lemak', 'tinggi karbo', 'tinggi kalori']",ikan bumbu goreng seafood protein tinggi tinggi lemak tinggi karbo tinggi kalori
433,Ikan Belut Segar mentah,Sarapan,82.0,6.7,1.0,10.9,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah kalori
434,Ikan Beunteur,Sarapan,66.0,14.0,0.0,0.0,0.0,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah karbo rendah kalori
435,Ikan biawan segar,Sarapan,90.0,14.9,2.5,2.1,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah karbo rendah kalori
436,Ikan bili segar,Sarapan,88.0,14.2,0.7,6.2,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah karbo rendah kalori
437,Ikan bubara segar,Sarapan,100.0,14.7,2.4,4.9,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah karbo rendah kalori
438,Ikan bulan-bulan segar,Sarapan,134.0,25.5,1.3,5.0,0.5,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo rendah kalori
439,Ikan cakalang asap mentah,Sarapan,204.0,34.2,5.6,1.9,0.5,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah karbo']",ikan bumbu seafood protein tinggi rendah karbo
440,Ikan cakalang asin mentah,Sarapan,198.0,36.5,2.2,5.5,0.5,"['ikan', 'bumbu']","['asin', 'seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu asin seafood protein tinggi rendah lemak rendah karbo rendah kalori
441,Ikan cakalang hati segar,Sarapan,120.0,11.3,3.9,10.0,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah kalori
442,Ikan cakalang jantung segar,Sarapan,116.0,11.2,1.2,10.2,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah kalori
443,Ikan cakalang perut segar,Sarapan,86.0,10.2,1.1,8.7,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah karbo rendah kalori
444,Ikan cakalang segar,Sarapan,107.0,19.6,0.7,5.5,0.5,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo rendah kalori
445,Ikan calo/ peda mentah,Sarapan,81.0,11.4,1.9,3.8,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah karbo rendah kalori
446,Ikan daun segar,Sarapan,101.0,11.5,4.1,4.6,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah karbo rendah kalori
447,Ikan Ekor Kuning,Sarapan,109.0,17.0,4.0,0.0,0.0,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo rendah kalori
448,Ikan Gabus asap mentah,Sarapan,261.0,38.1,2.3,21.9,1.1,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak']",ikan bumbu seafood protein tinggi rendah lemak
449,Ikan Gabus kering,Sarapan,292.0,58.0,4.0,0.0,0.0,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo
450,Ikan Gabus segar,Sarapan,74.0,25.2,1.7,0.0,0.0,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo rendah kalori
451,Ikan gete goreng,Sarapan,267.0,23.1,19.4,0.2,0.1,"['ikan', 'bumbu']","['goreng', 'seafood', 'protein tinggi', 'tinggi lemak', 'rendah karbo']",ikan bumbu goreng seafood protein tinggi tinggi lemak rendah karbo
452,Ikan hitam segar,Sarapan,101.0,10.3,3.7,6.7,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah karbo rendah kalori
453,Ikan hiu kering,Sarapan,298.0,46.3,3.6,20.2,1.0,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak']",ikan bumbu seafood protein tinggi rendah lemak
454,Ikan hiu segar,Sarapan,57.0,10.7,0.3,2.2,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah karbo rendah kalori
455,Ikan kacangan segar,Sarapan,77.0,15.6,0.9,1.6,0.5,"['ikan', 'bumbu']","['seafood', 'nabati', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood nabati protein tinggi rendah lemak rendah karbo rendah kalori
456,Ikan kakap segar,Sarapan,92.0,20.0,0.7,0.0,0.0,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo rendah kalori
457,Ikan kakatua segar,Sarapan,82.0,11.4,1.2,6.4,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah karbo rendah kalori
458,Ikan kapar segar,Sarapan,132.0,17.0,6.7,0.8,0.3,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah karbo rendah kalori
459,Ikan katombo asin,Sarapan,162.0,31.7,2.8,0.3,0.1,"['ikan', 'bumbu']","['asin', 'seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu asin seafood protein tinggi rendah lemak rendah karbo rendah kalori
460,Ikan kawalinya segar,Sarapan,110.0,12.6,4.2,5.4,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah karbo rendah kalori
461,Ikan kayu kering,Makan Siang,302.0,70.7,1.9,0.4,0.2,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo
462,Ikan Kembung,Sarapan,103.0,22.0,1.0,0.0,0.0,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo rendah kalori
463,Ikan kima segar,Sarapan,70.0,10.8,0.7,5.2,0.5,"['ikan', 'bumbu']","['seafood', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood rendah lemak rendah karbo rendah kalori
464,Ikan Lais bakar,Sarapan,147.0,17.5,6.5,5.4,0.5,"['ikan', 'bumbu']","['bakar', 'seafood', 'protein tinggi', 'rendah karbo', 'rendah kalori']",ikan bumbu bakar seafood protein tinggi rendah karbo rendah kalori
465,Ikan Layang,Sarapan,109.0,22.0,1.7,0.0,0.0,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo rendah kalori
466,Ikan layur segar,Sarapan,82.0,18.0,1.0,0.4,0.2,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo rendah kalori
467,Ikan lehoma segar,Sarapan,90.0,20.4,0.9,0.0,0.0,"['ikan', 'bumbu']","['seafood', 'protein tinggi', 'rendah lemak', 'rendah karbo', 'rendah kalori']",ikan bumbu seafood protein tinggi rendah lemak rendah karbo rendah kalori
